ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0028	FLUFENAZINA DECANOATO - 25 MG/ML INY 1ML - SOLUCION INYECTABLE
P0054	SIMETICONA - 80 MG. / ML. X 15 ML - SUSPENSION ORAL - SIMETICONA
P0096	TIAMINA - 100 MG. - TABLETA RECUBIERTA - TIAMINA
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0097	EPINEFRINA (COMO CLORHIDRATO O TARTRATO) - 1 MG/ML INY 1 ML - SOLUCION INYECTABLE - EPINEFRINA (COMO
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0098	METRONIDAZOL - 500  MG INY 100 ML  - SOLUCION PARA PERFUSION - METREXOL
P0098	METRONIDAZOL - 500  MG INY 100 ML  - SOLUCION PARA PERFUSION - METREXOL
P0099	AMOXICILINA - 500 MG. - TABLETA RECUBIERTA - AMOXICILINA
P0100	CLINDAMICINA - 600 MG./ 4 ML. I.M./I.V. - SOLUCION INYECTABLE - CLINDAMICINA
P0100	CLINDAMICINA - 600 MG./ 4 ML. I.M./I.V. - SOLUCION INYECTABLE - CLINDAMICINA
P0014	HIOSCINA BUTIL BROMURO - 10 MG. - TABLETA RECUBIERTA - BUSCAD
P0079	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL - ALBENDAZOL
P0079	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL - ALBENDAZOL
P0079	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL - ALBENDAZOL
P0101	GENTAMICINA - 3 MG/ML (0.3 %) SOL OFT 5 ML - SOLUCION OFTALMICA - GENTAMICINA
P0102	ERGOMETRINA - 0.2 MG/ML - SOLUCION INYECTABLE - ERGOTAS
P0067	EPOETINA ALFA - 2000 UI/ML INY 1ML - SOLUCION INYECTABLE - EPOTROPIN- A
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0103	CARBAMAZEPINA - 200 MG. - TABLETA - GENERICO
